filename,Anthracnose,Bacterial Canker,Cutting Weevil,Die Back,Gall Midge,Healthy,Powdery Mildew,Sooty Mould,uploads
synthetic_Gall Midge_uploads_1562.jpg,0,0,0,0,1,0,0,0,1
synthetic_Gall Midge_Powdery Mildew_263.jpg,0,0,0,0,1,0,1,0,0
synthetic_Sooty Mould_Anthracnose_718.jpg,1,0,0,0,0,0,0,1,0
synthetic_Gall Midge_Healthy_1154.jpg,0,0,0,0,1,1,0,0,0
synthetic_uploads_Cutting Weevil_120.jpg,0,0,1,0,0,0,0,0,1
synthetic_Gall Midge_uploads_355.jpg,0,0,0,0,1,0,0,0,1
synthetic_Healthy_Gall Midge_1420.jpg,0,0,0,0,1,1,0,0,0
synthetic_Anthracnose_Healthy_1301.jpg,1,0,0,0,0,1,0,0,0
synthetic_Gall Midge_Sooty Mould_1172.jpg,0,0,0,0,1,0,0,1,0
synthetic_Powdery Mildew_Cutting Weevil_1142.jpg,0,0,1,0,0,0,1,0,0
synthetic_Powdery Mildew_Bacterial Canker_1337.jpg,0,1,0,0,0,0,1,0,0
synthetic_Anthracnose_Powdery Mildew_427.jpg,1,0,0,0,0,0,1,0,0
synthetic_Healthy_Powdery Mildew_1954.jpg,0,0,0,0,0,1,1,0,0
synthetic_Die Back_Anthracnose_1462.jpg,1,0,0,1,0,0,0,0,0
synthetic_Anthracnose_Healthy_1149.jpg,1,0,0,0,0,1,0,0,0
synthetic_Bacterial Canker_Sooty Mould_73.jpg,0,1,0,0,0,0,0,1,0
synthetic_Powdery Mildew_Healthy_370.jpg,0,0,0,0,0,1,1,0,0
synthetic_uploads_Powdery Mildew_320.jpg,0,0,0,0,0,0,1,0,1
synthetic_uploads_Gall Midge_995.jpg,0,0,0,0,1,0,0,0,1
synthetic_Bacterial Canker_Anthracnose_1774.jpg,1,1,0,0,0,0,0,0,0
synthetic_Sooty Mould_Gall Midge_948.jpg,0,0,0,0,1,0,0,1,0
synthetic_Healthy_Anthracnose_1283.jpg,1,0,0,0,0,1,0,0,0
synthetic_Sooty Mould_uploads_102.jpg,0,0,0,0,0,0,0,1,1
synthetic_Anthracnose_Gall Midge_1438.jpg,1,0,0,0,1,0,0,0,0
synthetic_Powdery Mildew_Bacterial Canker_498.jpg,0,1,0,0,0,0,1,0,0
synthetic_Cutting Weevil_Powdery Mildew_1239.jpg,0,0,1,0,0,0,1,0,0
synthetic_Anthracnose_uploads_155.jpg,1,0,0,0,0,0,0,0,1
synthetic_Bacterial Canker_Powdery Mildew_1404.jpg,0,1,0,0,0,0,1,0,0
synthetic_Gall Midge_Cutting Weevil_796.jpg,0,0,1,0,1,0,0,0,0
synthetic_Healthy_Sooty Mould_785.jpg,0,0,0,0,0,1,0,1,0
synthetic_Healthy_Die Back_479.jpg,0,0,0,1,0,1,0,0,0
synthetic_uploads_Powdery Mildew_1727.jpg,0,0,0,0,0,0,1,0,1
synthetic_Cutting Weevil_Bacterial Canker_1005.jpg,0,1,1,0,0,0,0,0,0
synthetic_Bacterial Canker_Die Back_1447.jpg,0,1,0,1,0,0,0,0,0
synthetic_Gall Midge_Powdery Mildew_1350.jpg,0,0,0,0,1,0,1,0,0
synthetic_Powdery Mildew_uploads_152.jpg,0,0,0,0,0,0,1,0,1
synthetic_Healthy_Cutting Weevil_680.jpg,0,0,1,0,0,1,0,0,0
synthetic_Healthy_Bacterial Canker_1113.jpg,0,1,0,0,0,1,0,0,0
synthetic_Powdery Mildew_Healthy_480.jpg,0,0,0,0,0,1,1,0,0
synthetic_Healthy_Bacterial Canker_272.jpg,0,1,0,0,0,1,0,0,0
synthetic_Powdery Mildew_Gall Midge_576.jpg,0,0,0,0,1,0,1,0,0
synthetic_Powdery Mildew_Die Back_866.jpg,0,0,0,1,0,0,1,0,0
synthetic_Healthy_Gall Midge_1333.jpg,0,0,0,0,1,1,0,0,0
synthetic_Sooty Mould_Anthracnose_704.jpg,1,0,0,0,0,0,0,1,0
synthetic_Die Back_Powdery Mildew_37.jpg,0,0,0,1,0,0,1,0,0
synthetic_Healthy_uploads_23.jpg,0,0,0,0,0,1,0,0,1
synthetic_Powdery Mildew_Cutting Weevil_1574.jpg,0,0,1,0,0,0,1,0,0
synthetic_Cutting Weevil_Gall Midge_1318.jpg,0,0,1,0,1,0,0,0,0
synthetic_Powdery Mildew_Gall Midge_126.jpg,0,0,0,0,1,0,1,0,0
synthetic_Anthracnose_Sooty Mould_1319.jpg,1,0,0,0,0,0,0,1,0
synthetic_Cutting Weevil_uploads_13.jpg,0,0,1,0,0,0,0,0,1
synthetic_Powdery Mildew_Bacterial Canker_724.jpg,0,1,0,0,0,0,1,0,0
synthetic_Bacterial Canker_Die Back_1901.jpg,0,1,0,1,0,0,0,0,0
synthetic_Anthracnose_Cutting Weevil_992.jpg,1,0,1,0,0,0,0,0,0
synthetic_Sooty Mould_Die Back_1009.jpg,0,0,0,1,0,0,0,1,0
synthetic_uploads_Powdery Mildew_66.jpg,0,0,0,0,0,0,1,0,1
synthetic_Cutting Weevil_Bacterial Canker_124.jpg,0,1,1,0,0,0,0,0,0
synthetic_Healthy_Powdery Mildew_717.jpg,0,0,0,0,0,1,1,0,0
synthetic_Powdery Mildew_Sooty Mould_336.jpg,0,0,0,0,0,0,1,1,0
synthetic_Healthy_Sooty Mould_1984.jpg,0,0,0,0,0,1,0,1,0
synthetic_Bacterial Canker_uploads_1513.jpg,0,1,0,0,0,0,0,0,1
synthetic_Die Back_Bacterial Canker_1640.jpg,0,1,0,1,0,0,0,0,0
synthetic_Powdery Mildew_Bacterial Canker_1910.jpg,0,1,0,0,0,0,1,0,0
synthetic_Sooty Mould_Anthracnose_1686.jpg,1,0,0,0,0,0,0,1,0
synthetic_Gall Midge_Anthracnose_1548.jpg,1,0,0,0,1,0,0,0,0
synthetic_Gall Midge_Cutting Weevil_1575.jpg,0,0,1,0,1,0,0,0,0
synthetic_uploads_Bacterial Canker_758.jpg,0,1,0,0,0,0,0,0,1
synthetic_Sooty Mould_Die Back_173.jpg,0,0,0,1,0,0,0,1,0
synthetic_Anthracnose_Bacterial Canker_409.jpg,1,1,0,0,0,0,0,0,0
synthetic_Gall Midge_Bacterial Canker_805.jpg,0,1,0,0,1,0,0,0,0
synthetic_Powdery Mildew_Bacterial Canker_1033.jpg,0,1,0,0,0,0,1,0,0
synthetic_Gall Midge_Anthracnose_497.jpg,1,0,0,0,1,0,0,0,0
synthetic_Bacterial Canker_Healthy_199.jpg,0,1,0,0,0,1,0,0,0
synthetic_uploads_Gall Midge_1804.jpg,0,0,0,0,1,0,0,0,1
synthetic_uploads_Die Back_1763.jpg,0,0,0,1,0,0,0,0,1
synthetic_Healthy_Die Back_1538.jpg,0,0,0,1,0,1,0,0,0
synthetic_Powdery Mildew_Sooty Mould_1581.jpg,0,0,0,0,0,0,1,1,0
synthetic_Anthracnose_Healthy_1735.jpg,1,0,0,0,0,1,0,0,0
synthetic_Cutting Weevil_Powdery Mildew_1645.jpg,0,0,1,0,0,0,1,0,0
synthetic_Healthy_Bacterial Canker_1390.jpg,0,1,0,0,0,1,0,0,0
synthetic_Powdery Mildew_uploads_1245.jpg,0,0,0,0,0,0,1,0,1
synthetic_Anthracnose_uploads_1060.jpg,1,0,0,0,0,0,0,0,1
synthetic_Cutting Weevil_Powdery Mildew_103.jpg,0,0,1,0,0,0,1,0,0
synthetic_Healthy_Bacterial Canker_955.jpg,0,1,0,0,0,1,0,0,0
synthetic_Anthracnose_Bacterial Canker_410.jpg,1,1,0,0,0,0,0,0,0
synthetic_Healthy_Gall Midge_1625.jpg,0,0,0,0,1,1,0,0,0
synthetic_Sooty Mould_Die Back_1104.jpg,0,0,0,1,0,0,0,1,0
synthetic_Die Back_Sooty Mould_399.jpg,0,0,0,1,0,0,0,1,0
synthetic_uploads_Powdery Mildew_1630.jpg,0,0,0,0,0,0,1,0,1
synthetic_Cutting Weevil_Die Back_1056.jpg,0,0,1,1,0,0,0,0,0
synthetic_Healthy_Die Back_569.jpg,0,0,0,1,0,1,0,0,0
synthetic_Anthracnose_Cutting Weevil_1115.jpg,1,0,1,0,0,0,0,0,0
synthetic_Anthracnose_Gall Midge_1388.jpg,1,0,0,0,1,0,0,0,0
synthetic_uploads_Die Back_1223.jpg,0,0,0,1,0,0,0,0,1
synthetic_Cutting Weevil_Sooty Mould_1988.jpg,0,0,1,0,0,0,0,1,0
synthetic_Bacterial Canker_Anthracnose_1078.jpg,1,1,0,0,0,0,0,0,0
synthetic_Cutting Weevil_Gall Midge_1605.jpg,0,0,1,0,1,0,0,0,0
synthetic_Powdery Mildew_Anthracnose_45.jpg,1,0,0,0,0,0,1,0,0
synthetic_Cutting Weevil_uploads_838.jpg,0,0,1,0,0,0,0,0,1
synthetic_Powdery Mildew_Sooty Mould_688.jpg,0,0,0,0,0,0,1,1,0
synthetic_Powdery Mildew_Sooty Mould_365.jpg,0,0,0,0,0,0,1,1,0
synthetic_Cutting Weevil_Powdery Mildew_1679.jpg,0,0,1,0,0,0,1,0,0
synthetic_Cutting Weevil_Die Back_496.jpg,0,0,1,1,0,0,0,0,0
synthetic_Sooty Mould_Anthracnose_303.jpg,1,0,0,0,0,0,0,1,0
synthetic_uploads_Die Back_640.jpg,0,0,0,1,0,0,0,0,1
synthetic_Die Back_Sooty Mould_500.jpg,0,0,0,1,0,0,0,1,0
synthetic_Cutting Weevil_Healthy_1627.jpg,0,0,1,0,0,1,0,0,0
synthetic_Powdery Mildew_Anthracnose_1995.jpg,1,0,0,0,0,0,1,0,0
synthetic_Bacterial Canker_Die Back_312.jpg,0,1,0,1,0,0,0,0,0
synthetic_Anthracnose_uploads_671.jpg,1,0,0,0,0,0,0,0,1
synthetic_Die Back_Powdery Mildew_1672.jpg,0,0,0,1,0,0,1,0,0
synthetic_Die Back_Cutting Weevil_1177.jpg,0,0,1,1,0,0,0,0,0
synthetic_Sooty Mould_Anthracnose_391.jpg,1,0,0,0,0,0,0,1,0
synthetic_Sooty Mould_uploads_385.jpg,0,0,0,0,0,0,0,1,1
synthetic_Anthracnose_Sooty Mould_159.jpg,1,0,0,0,0,0,0,1,0
synthetic_Die Back_Healthy_1646.jpg,0,0,0,1,0,1,0,0,0
synthetic_Anthracnose_Healthy_1949.jpg,1,0,0,0,0,1,0,0,0
synthetic_Die Back_Powdery Mildew_1680.jpg,0,0,0,1,0,0,1,0,0
synthetic_Gall Midge_Die Back_1034.jpg,0,0,0,1,1,0,0,0,0
synthetic_Die Back_Gall Midge_1944.jpg,0,0,0,1,1,0,0,0,0
synthetic_Healthy_Cutting Weevil_1358.jpg,0,0,1,0,0,1,0,0,0
synthetic_Gall Midge_Anthracnose_1953.jpg,1,0,0,0,1,0,0,0,0
synthetic_uploads_Powdery Mildew_1937.jpg,0,0,0,0,0,0,1,0,1
synthetic_Cutting Weevil_Sooty Mould_140.jpg,0,0,1,0,0,0,0,1,0
synthetic_Bacterial Canker_Cutting Weevil_1314.jpg,0,1,1,0,0,0,0,0,0
synthetic_Healthy_Sooty Mould_1193.jpg,0,0,0,0,0,1,0,1,0
synthetic_Bacterial Canker_Cutting Weevil_791.jpg,0,1,1,0,0,0,0,0,0
synthetic_uploads_Healthy_1131.jpg,0,0,0,0,0,1,0,0,1
synthetic_Powdery Mildew_Gall Midge_1927.jpg,0,0,0,0,1,0,1,0,0
synthetic_Gall Midge_Die Back_863.jpg,0,0,0,1,1,0,0,0,0
synthetic_Cutting Weevil_Gall Midge_138.jpg,0,0,1,0,1,0,0,0,0
synthetic_Anthracnose_uploads_1508.jpg,1,0,0,0,0,0,0,0,1
synthetic_Healthy_Gall Midge_728.jpg,0,0,0,0,1,1,0,0,0
synthetic_Gall Midge_Sooty Mould_1589.jpg,0,0,0,0,1,0,0,1,0
synthetic_Die Back_Bacterial Canker_1273.jpg,0,1,0,1,0,0,0,0,0
synthetic_Healthy_Powdery Mildew_1343.jpg,0,0,0,0,0,1,1,0,0
synthetic_uploads_Sooty Mould_259.jpg,0,0,0,0,0,0,0,1,1
synthetic_Sooty Mould_Bacterial Canker_1532.jpg,0,1,0,0,0,0,0,1,0
synthetic_Bacterial Canker_Gall Midge_53.jpg,0,1,0,0,1,0,0,0,0
synthetic_Healthy_Anthracnose_1106.jpg,1,0,0,0,0,1,0,0,0
synthetic_Powdery Mildew_Die Back_804.jpg,0,0,0,1,0,0,1,0,0
synthetic_Healthy_Die Back_1864.jpg,0,0,0,1,0,1,0,0,0
synthetic_uploads_Cutting Weevil_1906.jpg,0,0,1,0,0,0,0,0,1
synthetic_Healthy_Sooty Mould_1065.jpg,0,0,0,0,0,1,0,1,0
synthetic_Sooty Mould_Cutting Weevil_231.jpg,0,0,1,0,0,0,0,1,0
synthetic_Anthracnose_Healthy_150.jpg,1,0,0,0,0,1,0,0,0
synthetic_Anthracnose_Gall Midge_853.jpg,1,0,0,0,1,0,0,0,0
synthetic_Anthracnose_Die Back_966.jpg,1,0,0,1,0,0,0,0,0
synthetic_Sooty Mould_Anthracnose_1989.jpg,1,0,0,0,0,0,0,1,0
synthetic_Cutting Weevil_Sooty Mould_185.jpg,0,0,1,0,0,0,0,1,0
synthetic_uploads_Sooty Mould_1069.jpg,0,0,0,0,0,0,0,1,1
synthetic_Gall Midge_Anthracnose_4.jpg,1,0,0,0,1,0,0,0,0
synthetic_Bacterial Canker_Anthracnose_374.jpg,1,1,0,0,0,0,0,0,0
synthetic_Gall Midge_Bacterial Canker_692.jpg,0,1,0,0,1,0,0,0,0
synthetic_Cutting Weevil_Bacterial Canker_1099.jpg,0,1,1,0,0,0,0,0,0
synthetic_Anthracnose_Healthy_1294.jpg,1,0,0,0,0,1,0,0,0
synthetic_Bacterial Canker_Healthy_40.jpg,0,1,0,0,0,1,0,0,0
synthetic_Healthy_Sooty Mould_503.jpg,0,0,0,0,0,1,0,1,0
synthetic_Anthracnose_uploads_1004.jpg,1,0,0,0,0,0,0,0,1
synthetic_Sooty Mould_Bacterial Canker_317.jpg,0,1,0,0,0,0,0,1,0
synthetic_Powdery Mildew_Anthracnose_216.jpg,1,0,0,0,0,0,1,0,0
synthetic_Powdery Mildew_Die Back_562.jpg,0,0,0,1,0,0,1,0,0
synthetic_uploads_Healthy_147.jpg,0,0,0,0,0,1,0,0,1
synthetic_Gall Midge_Bacterial Canker_859.jpg,0,1,0,0,1,0,0,0,0
synthetic_Healthy_Gall Midge_238.jpg,0,0,0,0,1,1,0,0,0
synthetic_Healthy_Anthracnose_350.jpg,1,0,0,0,0,1,0,0,0
synthetic_Healthy_Gall Midge_1475.jpg,0,0,0,0,1,1,0,0,0
synthetic_Cutting Weevil_Powdery Mildew_958.jpg,0,0,1,0,0,0,1,0,0
synthetic_Cutting Weevil_uploads_580.jpg,0,0,1,0,0,0,0,0,1
synthetic_Powdery Mildew_Gall Midge_1710.jpg,0,0,0,0,1,0,1,0,0
synthetic_Bacterial Canker_Powdery Mildew_634.jpg,0,1,0,0,0,0,1,0,0
synthetic_Die Back_Sooty Mould_1496.jpg,0,0,0,1,0,0,0,1,0
synthetic_Sooty Mould_Bacterial Canker_494.jpg,0,1,0,0,0,0,0,1,0
synthetic_Sooty Mould_Gall Midge_860.jpg,0,0,0,0,1,0,0,1,0
synthetic_Sooty Mould_Die Back_1777.jpg,0,0,0,1,0,0,0,1,0
synthetic_Bacterial Canker_Cutting Weevil_831.jpg,0,1,1,0,0,0,0,0,0
synthetic_Gall Midge_Die Back_1783.jpg,0,0,0,1,1,0,0,0,0
synthetic_Powdery Mildew_Bacterial Canker_1708.jpg,0,1,0,0,0,0,1,0,0
synthetic_Anthracnose_Healthy_1155.jpg,1,0,0,0,0,1,0,0,0
synthetic_Die Back_Anthracnose_92.jpg,1,0,0,1,0,0,0,0,0
synthetic_Bacterial Canker_Sooty Mould_1687.jpg,0,1,0,0,0,0,0,1,0
synthetic_Sooty Mould_Die Back_1890.jpg,0,0,0,1,0,0,0,1,0
synthetic_Anthracnose_Gall Midge_1017.jpg,1,0,0,0,1,0,0,0,0
synthetic_Anthracnose_Gall Midge_1380.jpg,1,0,0,0,1,0,0,0,0
synthetic_Sooty Mould_Anthracnose_49.jpg,1,0,0,0,0,0,0,1,0
synthetic_uploads_Bacterial Canker_1385.jpg,0,1,0,0,0,0,0,0,1
synthetic_Healthy_Gall Midge_1161.jpg,0,0,0,0,1,1,0,0,0
synthetic_Bacterial Canker_Gall Midge_1300.jpg,0,1,0,0,1,0,0,0,0
synthetic_uploads_Cutting Weevil_1932.jpg,0,0,1,0,0,0,0,0,1
synthetic_Powdery Mildew_uploads_1647.jpg,0,0,0,0,0,0,1,0,1
synthetic_Sooty Mould_Gall Midge_1623.jpg,0,0,0,0,1,0,0,1,0
synthetic_Gall Midge_uploads_1459.jpg,0,0,0,0,1,0,0,0,1
synthetic_Healthy_Sooty Mould_304.jpg,0,0,0,0,0,1,0,1,0
synthetic_Powdery Mildew_Sooty Mould_69.jpg,0,0,0,0,0,0,1,1,0
synthetic_Sooty Mould_Cutting Weevil_276.jpg,0,0,1,0,0,0,0,1,0
synthetic_Bacterial Canker_Powdery Mildew_731.jpg,0,1,0,0,0,0,1,0,0
synthetic_Healthy_Powdery Mildew_1325.jpg,0,0,0,0,0,1,1,0,0
synthetic_uploads_Gall Midge_623.jpg,0,0,0,0,1,0,0,0,1
synthetic_Gall Midge_Bacterial Canker_29.jpg,0,1,0,0,1,0,0,0,0
synthetic_uploads_Anthracnose_679.jpg,1,0,0,0,0,0,0,0,1
synthetic_uploads_Bacterial Canker_1565.jpg,0,1,0,0,0,0,0,0,1
synthetic_Healthy_Die Back_1403.jpg,0,0,0,1,0,1,0,0,0
synthetic_Gall Midge_Sooty Mould_911.jpg,0,0,0,0,1,0,0,1,0
synthetic_Gall Midge_uploads_1395.jpg,0,0,0,0,1,0,0,0,1
synthetic_Die Back_Cutting Weevil_67.jpg,0,0,1,1,0,0,0,0,0
synthetic_Anthracnose_Bacterial Canker_319.jpg,1,1,0,0,0,0,0,0,0
synthetic_Powdery Mildew_Healthy_1379.jpg,0,0,0,0,0,1,1,0,0
synthetic_Sooty Mould_Healthy_335.jpg,0,0,0,0,0,1,0,1,0
synthetic_Sooty Mould_Die Back_1649.jpg,0,0,0,1,0,0,0,1,0
synthetic_Anthracnose_Cutting Weevil_1118.jpg,1,0,1,0,0,0,0,0,0
synthetic_Healthy_Sooty Mould_1471.jpg,0,0,0,0,0,1,0,1,0
synthetic_uploads_Cutting Weevil_685.jpg,0,0,1,0,0,0,0,0,1
synthetic_Powdery Mildew_Sooty Mould_1259.jpg,0,0,0,0,0,0,1,1,0
synthetic_Gall Midge_Powdery Mildew_708.jpg,0,0,0,0,1,0,1,0,0
synthetic_uploads_Gall Midge_1996.jpg,0,0,0,0,1,0,0,0,1
synthetic_Die Back_Bacterial Canker_1051.jpg,0,1,0,1,0,0,0,0,0
synthetic_Healthy_Die Back_1406.jpg,0,0,0,1,0,1,0,0,0
synthetic_Powdery Mildew_Cutting Weevil_330.jpg,0,0,1,0,0,0,1,0,0
synthetic_uploads_Healthy_106.jpg,0,0,0,0,0,1,0,0,1
synthetic_Sooty Mould_Anthracnose_291.jpg,1,0,0,0,0,0,0,1,0
synthetic_Healthy_Powdery Mildew_1813.jpg,0,0,0,0,0,1,1,0,0
synthetic_Powdery Mildew_Healthy_323.jpg,0,0,0,0,0,1,1,0,0
synthetic_Powdery Mildew_Die Back_528.jpg,0,0,0,1,0,0,1,0,0
synthetic_Sooty Mould_Anthracnose_1960.jpg,1,0,0,0,0,0,0,1,0
synthetic_Bacterial Canker_Sooty Mould_1723.jpg,0,1,0,0,0,0,0,1,0
synthetic_Anthracnose_Healthy_1328.jpg,1,0,0,0,0,1,0,0,0
synthetic_Gall Midge_Powdery Mildew_682.jpg,0,0,0,0,1,0,1,0,0
synthetic_Die Back_Sooty Mould_261.jpg,0,0,0,1,0,0,0,1,0
synthetic_Powdery Mildew_Gall Midge_1990.jpg,0,0,0,0,1,0,1,0,0
synthetic_uploads_Cutting Weevil_898.jpg,0,0,1,0,0,0,0,0,1
synthetic_Cutting Weevil_Die Back_983.jpg,0,0,1,1,0,0,0,0,0
synthetic_Powdery Mildew_Sooty Mould_573.jpg,0,0,0,0,0,0,1,1,0
synthetic_Healthy_Sooty Mould_524.jpg,0,0,0,0,0,1,0,1,0
synthetic_Bacterial Canker_Anthracnose_1052.jpg,1,1,0,0,0,0,0,0,0
synthetic_Powdery Mildew_Die Back_1384.jpg,0,0,0,1,0,0,1,0,0
synthetic_Bacterial Canker_Die Back_1184.jpg,0,1,0,1,0,0,0,0,0
synthetic_uploads_Die Back_611.jpg,0,0,0,1,0,0,0,0,1
synthetic_Powdery Mildew_Anthracnose_1835.jpg,1,0,0,0,0,0,1,0,0
synthetic_Gall Midge_Cutting Weevil_1243.jpg,0,0,1,0,1,0,0,0,0
synthetic_Die Back_Cutting Weevil_1564.jpg,0,0,1,1,0,0,0,0,0
synthetic_Anthracnose_Powdery Mildew_339.jpg,1,0,0,0,0,0,1,0,0
synthetic_Gall Midge_Die Back_1226.jpg,0,0,0,1,1,0,0,0,0
synthetic_Gall Midge_Die Back_1740.jpg,0,0,0,1,1,0,0,0,0
synthetic_Gall Midge_Sooty Mould_177.jpg,0,0,0,0,1,0,0,1,0
synthetic_Anthracnose_Sooty Mould_1654.jpg,1,0,0,0,0,0,0,1,0
synthetic_Gall Midge_Die Back_1536.jpg,0,0,0,1,1,0,0,0,0
synthetic_Anthracnose_Healthy_485.jpg,1,0,0,0,0,1,0,0,0
synthetic_Healthy_Bacterial Canker_1622.jpg,0,1,0,0,0,1,0,0,0
synthetic_uploads_Anthracnose_331.jpg,1,0,0,0,0,0,0,0,1
synthetic_uploads_Sooty Mould_1413.jpg,0,0,0,0,0,0,0,1,1
synthetic_Bacterial Canker_Die Back_1846.jpg,0,1,0,1,0,0,0,0,0
synthetic_Gall Midge_Healthy_531.jpg,0,0,0,0,1,1,0,0,0
synthetic_Cutting Weevil_Sooty Mould_424.jpg,0,0,1,0,0,0,0,1,0
synthetic_uploads_Sooty Mould_516.jpg,0,0,0,0,0,0,0,1,1
synthetic_Powdery Mildew_Healthy_1457.jpg,0,0,0,0,0,1,1,0,0
synthetic_Sooty Mould_Cutting Weevil_1703.jpg,0,0,1,0,0,0,0,1,0
synthetic_Die Back_Anthracnose_1476.jpg,1,0,0,1,0,0,0,0,0
synthetic_Healthy_Cutting Weevil_115.jpg,0,0,1,0,0,1,0,0,0
synthetic_Powdery Mildew_Sooty Mould_1856.jpg,0,0,0,0,0,0,1,1,0
synthetic_Die Back_Bacterial Canker_615.jpg,0,1,0,1,0,0,0,0,0
synthetic_Sooty Mould_Powdery Mildew_456.jpg,0,0,0,0,0,0,1,1,0
synthetic_Die Back_Sooty Mould_1741.jpg,0,0,0,1,0,0,0,1,0
synthetic_Bacterial Canker_Healthy_371.jpg,0,1,0,0,0,1,0,0,0
synthetic_uploads_Healthy_1811.jpg,0,0,0,0,0,1,0,0,1
synthetic_Gall Midge_Healthy_1178.jpg,0,0,0,0,1,1,0,0,0
synthetic_uploads_Bacterial Canker_1637.jpg,0,1,0,0,0,0,0,0,1
synthetic_Gall Midge_Anthracnose_631.jpg,1,0,0,0,1,0,0,0,0
synthetic_Powdery Mildew_Healthy_1852.jpg,0,0,0,0,0,1,1,0,0
synthetic_Sooty Mould_Cutting Weevil_1808.jpg,0,0,1,0,0,0,0,1,0
synthetic_Anthracnose_Gall Midge_63.jpg,1,0,0,0,1,0,0,0,0
synthetic_Healthy_Anthracnose_369.jpg,1,0,0,0,0,1,0,0,0
synthetic_Anthracnose_Gall Midge_960.jpg,1,0,0,0,1,0,0,0,0
synthetic_Anthracnose_Powdery Mildew_541.jpg,1,0,0,0,0,0,1,0,0
synthetic_Bacterial Canker_Gall Midge_1267.jpg,0,1,0,0,1,0,0,0,0
synthetic_Sooty Mould_Cutting Weevil_1736.jpg,0,0,1,0,0,0,0,1,0
synthetic_Bacterial Canker_Die Back_723.jpg,0,1,0,1,0,0,0,0,0
synthetic_Bacterial Canker_Sooty Mould_1977.jpg,0,1,0,0,0,0,0,1,0
synthetic_Healthy_Cutting Weevil_1096.jpg,0,0,1,0,0,1,0,0,0
synthetic_Cutting Weevil_Die Back_112.jpg,0,0,1,1,0,0,0,0,0
